Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Single Family Resi,2.12,2019,8,20,8/28/19,918.0,2.0
Single Family Resi,1.83,2019,8,20,8/1/19,1066.0,2.0
Duplex,1.64,2019,8,20,8/13/19,1220.0,3.0
Single Family Resi,1.27,2019,8,20,8/23/19,1600.0,1.0
Single Family Resi,1.42,2019,8,20,8/26/19,1476.0,2.0
Single Family Resi,1.68,2019,8,20,8/1/19,1250.0,3.0
Duplex,1.75,2019,8,20,8/4/19,1200.0,3.0
Quadruplex,2.21,2019,8,20,8/10/19,950.0,3.0
Single Family Resi,1.79,2019,8,20,8/15/19,1232.0,3.0
Triplex,1.75,2019,8,20,8/1/19,1287.0,3.0
Single Family Resi,2.21,2019,8,20,8/6/19,1040.0,3.0
Single Family Resi,2.4,2019,8,20,8/14/19,960.0,2.0
Single Family Resi,2.01,2019,8,20,8/1/19,1146.0,3.0
Triplex,0.51,2019,8,20,8/9/19,4543.0,3.0
Single Family Resi,1.69,2019,8,20,8/23/19,1388.0,4.0
Single Family Resi,2.42,2019,8,20,8/1/19,970.0,2.0
Single Family Resi,1.78,2019,8,20,8/5/19,1350.0,3.0
Single Family Resi,2.0,2019,8,20,8/1/19,1203.0,3.0
Single Family Resi,1.29,2019,8,20,8/1/19,1857.0,3.0
Single Family Resi,1.34,2019,8,20,8/25/19,1805.0,3.0
Condominium,1.51,2019,8,20,8/13/19,1657.0,4.0
Single Family Resi,1.84,2019,8,20,8/27/19,1362.0,3.0
Single Family Resi,1.71,2019,8,20,8/22/19,1464.0,3.0
Single Family Resi,1.67,2019,8,20,8/7/19,1500.0,2.0
Condominium,2.09,2019,8,20,8/16/19,1196.0,3.0
Single Family Resi,1.66,2019,8,20,8/1/19,1508.0,4.0
Single Family Resi,1.78,2019,8,20,8/10/19,1404.0,3.0
Condominium,1.8,2019,8,20,8/2/19,1392.0,2.0
Single Family Resi,1.76,2019,8,20,8/1/19,1418.0,3.0
Single Family Resi,2.02,2019,8,20,8/4/19,1260.0,3.0
Single Family Resi,1.85,2019,8,20,8/1/19,1400.0,3.0
Duplex,1.07,2019,8,20,8/1/19,2420.0,3.0
Single Family Resi,1.54,2019,8,20,8/5/19,1683.0,3.0
Triplex,0.57,2019,8,20,8/9/19,4543.0,4.0
Single Family Resi,1.98,2019,8,20,8/8/19,1414.0,2.0
Duplex,1.51,2019,8,20,8/6/19,1850.0,5.0
Single Family Resi,1.67,2019,8,20,8/15/19,1710.0,5.0
Condominium,1.76,2019,8,20,8/17/19,1618.0,2.0
