Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
Condominium,2.59,2019,8,20,8/15/19
Single Family Resi,2.6,2019,8,20,8/1/19
See Remarks,2.05,2019,8,20,8/15/19
Single Family Resi,2.04,2019,8,20,8/10/19
Condominium,2.17,2019,8,20,8/15/19
Condominium,4.15,2019,8,20,8/3/19
Apartment,2.1,2019,8,20,8/1/19
Condominium,2.47,2019,8,20,8/3/19
Single Family Resi,1.65,2019,8,20,8/27/19
Condominium,1.55,2019,8,20,8/5/19
Single Family Resi,1.76,2019,8,20,8/11/19
Condominium,1.6,2019,8,20,8/6/19
Condominium,1.96,2019,8,20,8/31/19
Single Family Resi,2.29,2019,8,20,8/10/19
Duplex,1.71,2019,8,20,8/8/19
Condominium,1.81,2019,8,20,8/30/19
See Remarks,2.72,2019,8,20,8/16/19
Triplex,1.9,2019,8,20,8/27/19
Condominium,1.9,2019,8,20,8/28/19
Single Family Resi,2.1,2019,8,20,8/19/19
Single Family Resi,2.44,2019,8,20,8/21/19
Condominium,1.63,2019,8,20,8/17/19
Condominium,1.95,2019,8,20,8/17/19
Single Family Resi,2.18,2019,8,20,8/1/19
Condominium,1.76,2019,8,20,8/1/19
Condominium,1.96,2019,8,20,8/16/19
Single Family Resi,1.8,2019,8,20,8/31/19
Condominium,1.65,2019,8,20,8/3/19
